dmd,Antibiotic,Class,atccode,route,VmpUnit,WHO_AWaRe_2023,UK_AWaRe_2024,Include,Notes,vmp_id,vmp_nm,invalid_vmp,vtm_id,vtm_nm,atc_route,atc
Ceftazidime 3.75g intravenous infusion vials,Ceftazidime,Third-generation-cephalosporins,J01DD02,P,vial,w,w,1,,,,,,,,
Ceftazidime 3.7g intravenous infusion vials,Ceftazidime,Third-generation-cephalosporins,J01DD02,P,vial,w,w,1,,,,,,,,
Ceftazidime 3.9g powder for solution for injection vials,Ceftazidime,Third-generation-cephalosporins,J01DD02,P,vial,w,w,1,,,,,,,,
Ceftazidime 3000mg/250ml for infusion pre-filled injection devices,Ceftazidime,Third-generation-cephalosporins,J01DD02,P,ml,w,w,1,,,,,,,,
Ceftazidime 3g powder for solution for injection vials,Ceftazidime,Third-generation-cephalosporins,J01DD02,P,vial,w,w,1,,41945111000001106,Ceftazidime 3g powder for solution for injection vials,False,775115003,Ceftazidime,P,J01DD02
Ceftazidime 3g/250ml solution for infusion pre-filled injection devices,Ceftazidime,Third-generation-cephalosporins,J01DD02,P,ml,w,w,1,,,,,,,,
Ceftazidime 3g/50ml solution for infusion pre-filled injection devices,Ceftazidime,Third-generation-cephalosporins,J01DD02,P,ml,w,w,1,,,,,,,,
Ceftazidime 4000mg/250ml for infusion pre-filled injection devices,Ceftazidime,Third-generation-cephalosporins,J01DD02,P,ml,w,w,1,,,,,,,,
Ceftazidime 4g powder for solution for injection vials,Ceftazidime,Third-generation-cephalosporins,J01DD02,P,vial,w,w,1,,,,,,,,
Ceftazidime 4mg/0.2ml solution for infusion pre-filled syringes,Ceftazidime,Third-generation-cephalosporins,J01DD02,P,ml,w,w,1,,,,,,,,
Ceftazidime 500mg powder for solution for injection vials,Ceftazidime,Third-generation-cephalosporins,J01DD02,P,vial,w,w,1,,41945211000001100,Ceftazidime 500mg powder for solution for injection vials,False,775115003,Ceftazidime,P,J01DD02
Ceftazidime 6000mg/250ml for infusion pre-filled injection devices,Ceftazidime,Third-generation-cephalosporins,J01DD02,P,ml,w,w,1,,,,,,,,
Ceftazidime 620mg/50ml solution for infusion pre-filled injection devices,Ceftazidime,Third-generation-cephalosporins,J01DD02,P,ml,w,w,1,,,,,,,,
Ceftazidime 6g powder for solution for injection vials,Ceftazidime,Third-generation-cephalosporins,J01DD02,P,vial,w,w,1,,,,,,,,
Ceftobiprole 500mg powder for solution for infusion vials,Ceftobiprole-medocaril,Fifth-generation cephalosporins,J01DI01,P,vial,r,r,1,,31008911000001103,Ceftobiprole 500mg powder for solution for infusion vials,False,1287090001,Ceftobiprole,P,J01DI01
Ceftolozane 1g / Tazobactam 500mg powder for solution for infusion vials,Ceftolozane/tazobactam,Fifth-generation cephalosporins,J01DI54,P,vial,r,r,1,,31007811000001109,Ceftolozane 1g / Tazobactam 500mg powder for solution for infusion vials,False,775119009,Ceftolozane + Tazobactam,P,
Ceftolozane 1g / tazobactam 500mg powder for solution for infusion vials,Ceftolozane/tazobactam,Fifth-generation cephalosporins,J01DI54,P,vial,r,r,1,,31007811000001109,Ceftolozane 1g / Tazobactam 500mg powder for solution for infusion vials,False,775119009,Ceftolozane + Tazobactam,P,
Ceftriaxone 1g powder for solution for injection vials,Ceftriaxone,Third-generation-cephalosporins,J01DD04,P,vial,w,w,1,,41945311000001108,Ceftriaxone 1g powder for solution for injection vials,False,775120003,Ceftriaxone,P,J01DD04
Ceftriaxone 1g/50ml infusion bags,Ceftriaxone,Third-generation-cephalosporins,J01DD04,P,ml,w,w,1,,22102411000001102,Ceftriaxone 1g/50ml infusion bags,False,775120003,Ceftriaxone,P,J01DD04
Ceftriaxone 2.8g powder for solution for infusion vials,Ceftriaxone,Third-generation-cephalosporins,J01DD04,P,ml,w,w,1,,,,,,,,
Ceftriaxone 250mg powder for solution for injection vials,Ceftriaxone,Third-generation-cephalosporins,J01DD04,P,vial,w,w,1,,41945511000001102,Ceftriaxone 250mg powder for solution for injection vials,False,775120003,Ceftriaxone,P,J01DD04
Ceftriaxone 2g powder for solution for infusion vials,Ceftriaxone,Third-generation-cephalosporins,J01DD04,P,ml,w,w,1,,23107411000001109,Ceftriaxone 2g powder for solution for infusion vials,True,775120003,Ceftriaxone,P,J01DD04
Ceftriaxone 2g powder for solution for injection vials,Ceftriaxone,Third-generation-cephalosporins,J01DD04,P,vial,w,w,1,,41945611000001103,Ceftriaxone 2g powder for solution for injection vials,False,775120003,Ceftriaxone,P,J01DD04
Ceftriaxone 2g/100ml infusion bags,Ceftriaxone,Third-generation-cephalosporins,J01DD04,P,ml,w,w,1,,,,,,,,
Ceftriaxone 3g powder for solution for infusion vials,Ceftriaxone,Third-generation-cephalosporins,J01DD04,P,ml,w,w,1,,,,,,,,
Cefuroxime 1.5g powder for injection vials,Cefuroxime,Second-generation-cephalosporins,J01DC02,P,vial,w,w,1,,,,,,,,
Cefuroxime 1.5g powder for solution for injection vials,Cefuroxime,Second-generation-cephalosporins,J01DC02,P,vial,w,w,1,,4557611000001106,Cefuroxime 1.5g powder for solution for injection vials,False,775121004,Cefuroxime,P,J01DC02
Cefuroxime 1.5g/100ml infusion bags,Cefuroxime,Second-generation-cephalosporins,J01DC02,P,ml,w,w,1,,23683311000001109,Cefuroxime 1.5g/100ml infusion bags,False,775121004,Cefuroxime,P,J01DC02
Cefuroxime 1.5g/50ml infusion bags,Cefuroxime,Second-generation-cephalosporins,J01DC02,P,ml,w,w,1,,35893011000001107,Cefuroxime 1.5g/50ml infusion bags,False,775121004,Cefuroxime,P,J01DC02
Cefuroxime 125mg granules sachets,Cefuroxime,Second-generation-cephalosporins,J01DC02,O,sachet,w,w,1,,,,,,,,
Cefuroxime 125mg tablets,Cefuroxime,Second-generation-cephalosporins,J01DC02,O,tablet,w,w,1,,39684511000001101,Cefuroxime 125mg tablets,False,775121004,Cefuroxime,O,J01DC02
Cefuroxime 125mg/5ml oral suspension,Cefuroxime,Second-generation-cephalosporins,J01DC02,O,ml,w,w,1,,41945811000001104,Cefuroxime 125mg/5ml oral suspension,False,775121004,Cefuroxime,O,J01DC02
Cefuroxime 1mg/0.1ml solution for injection pre-filled syringes,Cefuroxime,Second-generation-cephalosporins,J01DC02,P,ml,w,w,1,,22041211000001105,Cefuroxime 1mg/0.1ml solution for injection pre-filled syringes,False,775121004,Cefuroxime,,J01DC02
Cefuroxime 200micrograms/0.2ml solution for injection pre-filled syringes,Cefuroxime,Second-generation-cephalosporins,J01DC02,P,ml,w,w,1,,,,,,,,
Cefuroxime 250mg powder for injection vials,Cefuroxime,Second-generation-cephalosporins,J01DC02,P,vial,w,w,1,,,,,,,,
Cefuroxime 250mg powder for solution for injection vials,Cefuroxime,Second-generation-cephalosporins,J01DC02,P,vial,w,w,1,,41945911000001109,Cefuroxime 250mg powder for solution for injection vials,False,775121004,Cefuroxime,P,J01DC02
Cefuroxime 250mg tablets,Cefuroxime,Second-generation-cephalosporins,J01DC02,O,tablet,w,w,1,,39694611000001101,Cefuroxime 250mg tablets,False,775121004,Cefuroxime,O,J01DC02
Cefuroxime 2mg/0.2ml solution for injection pre-filled syringes,Cefuroxime,Second-generation-cephalosporins,J01DC02,P,ml,w,w,1,,,,,,,,
Cefuroxime 300micrograms/0.3ml solution for injection pre-filled syringes,Cefuroxime,Second-generation-cephalosporins,J01DC02,P,ml,w,w,1,,22104011000001100,Cefuroxime 300micrograms/0.3ml solution for injection pre-filled syringes,False,775121004,Cefuroxime,,J01DC02
Cefuroxime 3mg in 0.3ml  solution for injection pre-filled syringes,Cefuroxime,Second-generation-cephalosporins,J01DC02,P,ml,w,w,1,,,,,,,,
Cefuroxime 3mg/0.3ml solution for injection pre-filled syringes,Cefuroxime,Second-generation-cephalosporins,J01DC02,P,ml,w,w,1,,30791311000001104,Cefuroxime 3mg/0.3ml solution for injection pre-filled syringes,False,775121004,Cefuroxime,,J01DC02
Cefuroxime 50mg powder for solution for injection vials,Cefuroxime,Second-generation-cephalosporins,J01DC02,P,vial,w,w,1,,21797311000001102,Cefuroxime 50mg powder for solution for injection vials,False,775121004,Cefuroxime,,J01DC02
Cefuroxime 750mg powder for injection vials,Cefuroxime,Second-generation-cephalosporins,J01DC02,P,vial,w,w,1,,,,,,,,
Cefuroxime 750mg powder for solution for injection vials,Cefuroxime,Second-generation-cephalosporins,J01DC02,P,vial,w,w,1,,36134711000001107,Cefuroxime 750mg powder for solution for injection vials,False,775121004,Cefuroxime,P,J01DC02
Cefuroxime 750mg/50ml infusion bags,Cefuroxime,Second-generation-cephalosporins,J01DC02,P,ml,w,w,1,,35893111000001108,Cefuroxime 750mg/50ml infusion bags,False,775121004,Cefuroxime,P,J01DC02
Chloramphenicol 1g powder for solution for injection vials,Chloramphenicol,Amphenicols,J01BA01,P,vial,a,w,1,,41946011000001101,Chloramphenicol 1g powder for solution for injection vials,False,775160002,Chloramphenicol,P,J01BA01
Chloramphenicol 250mg capsules,Chloramphenicol,Amphenicols,J01BA01,O,capsule,a,w,1,,41946111000001100,Chloramphenicol 250mg capsules,False,775160002,Chloramphenicol,O,J01BA01
Ciprofloxacin 100mg tablets,Ciprofloxacin,Fluoroquinolones,J01MA02,O,tablet,w,w,1,,39686211000001109,Ciprofloxacin 100mg tablets,False,775261009,Ciprofloxacin,O,J01MA02
Ciprofloxacin 100mg/50ml solution for infusion bottles,Ciprofloxacin,Fluoroquinolones,J01MA02,P,ml,w,w,1,,36140911000001100,Ciprofloxacin 100mg/50ml solution for infusion bottles,False,775261009,Ciprofloxacin,P,J01MA02
Ciprofloxacin 100mg/50ml solution for infusion vials,Ciprofloxacin,Fluoroquinolones,J01MA02,P,ml,w,w,1,,10892711000001106,Ciprofloxacin 100mg/50ml solution for infusion vials,False,775261009,Ciprofloxacin,P,J01MA02
Ciprofloxacin 100mg/5ml oral suspension,Ciprofloxacin,Fluoroquinolones,J01MA02,O,ml,w,w,1,,12019511000001104,Ciprofloxacin 100mg/5ml oral suspension,False,775261009,Ciprofloxacin,O,J01MA02
Ciprofloxacin 125mg/5ml oral suspension,Ciprofloxacin,Fluoroquinolones,J01MA02,O,ml,w,w,1,,12019611000001100,Ciprofloxacin 125mg/5ml oral suspension,False,775261009,Ciprofloxacin,O,J01MA02
Ciprofloxacin 150mg/5ml oral suspension,Ciprofloxacin,Fluoroquinolones,J01MA02,O,ml,w,w,1,,12019711000001109,Ciprofloxacin 150mg/5ml oral suspension,False,775261009,Ciprofloxacin,O,J01MA02
Ciprofloxacin 165mg/5ml oral suspension,Ciprofloxacin,Fluoroquinolones,J01MA02,O,ml,w,w,1,,12019811000001101,Ciprofloxacin 165mg/5ml oral suspension,False,775261009,Ciprofloxacin,O,J01MA02
Ciprofloxacin 170mg/5ml oral suspension,Ciprofloxacin,Fluoroquinolones,J01MA02,O,ml,w,w,1,,12019911000001106,Ciprofloxacin 170mg/5ml oral suspension,False,775261009,Ciprofloxacin,O,J01MA02
Ciprofloxacin 175mg/5ml oral suspension,Ciprofloxacin,Fluoroquinolones,J01MA02,O,ml,w,w,1,,12020011000001108,Ciprofloxacin 175mg/5ml oral suspension,False,775261009,Ciprofloxacin,O,J01MA02
Ciprofloxacin 200mg/100ml infusion bags,Ciprofloxacin,Fluoroquinolones,J01MA02,P,ml,w,w,1,,36141011000001108,Ciprofloxacin 200mg/100ml infusion bags,False,775261009,Ciprofloxacin,P,J01MA02
Ciprofloxacin 200mg/100ml solution for infusion bottles,Ciprofloxacin,Fluoroquinolones,J01MA02,P,ml,w,w,1,,8967411000001108,Ciprofloxacin 200mg/100ml solution for infusion bottles,False,775261009,Ciprofloxacin,P,J01MA02
Ciprofloxacin 200mg/100ml solution for infusion vials,Ciprofloxacin,Fluoroquinolones,J01MA02,P,ml,w,w,1,,10892811000001103,Ciprofloxacin 200mg/100ml solution for infusion vials,False,775261009,Ciprofloxacin,P,J01MA02
Ciprofloxacin 20mg/5ml oral suspension,Ciprofloxacin,Fluoroquinolones,J01MA02,O,ml,w,w,1,,12020111000001109,Ciprofloxacin 20mg/5ml oral suspension,False,775261009,Ciprofloxacin,O,J01MA02
Ciprofloxacin 250mg tablets,Ciprofloxacin,Fluoroquinolones,J01MA02,O,tablet,w,w,1,,39687511000001109,Ciprofloxacin 250mg tablets,False,775261009,Ciprofloxacin,O,J01MA02
Ciprofloxacin 250mg/5ml oral suspension,Ciprofloxacin,Fluoroquinolones,J01MA02,O,ml,w,w,1,,41760211000001107,Ciprofloxacin 250mg/5ml oral suspension,False,775261009,Ciprofloxacin,O,J01MA02
Ciprofloxacin 375mg/5ml oral suspension,Ciprofloxacin,Fluoroquinolones,J01MA02,O,ml,w,w,1,,12020211000001103,Ciprofloxacin 375mg/5ml oral suspension,False,775261009,Ciprofloxacin,O,J01MA02
Ciprofloxacin 390mg/50ml solution for injection vials,Ciprofloxacin,Fluoroquinolones,J01MA02,P,ml,w,w,1,,,,,,,,
Ciprofloxacin 400mg/200ml infusion bags,Ciprofloxacin,Fluoroquinolones,J01MA02,P,ml,w,w,1,,36141511000001100,Ciprofloxacin 400mg/200ml infusion bags,False,775261009,Ciprofloxacin,P,J01MA02
Ciprofloxacin 400mg/200ml solution for infusion bottles,Ciprofloxacin,Fluoroquinolones,J01MA02,P,ml,w,w,1,,8973011000001101,Ciprofloxacin 400mg/200ml solution for infusion bottles,False,775261009,Ciprofloxacin,P,J01MA02
Ciprofloxacin 400mg/200ml solution for infusion vials,Ciprofloxacin,Fluoroquinolones,J01MA02,P,ml,w,w,1,,10892911000001108,Ciprofloxacin 400mg/200ml solution for infusion vials,False,775261009,Ciprofloxacin,P,J01MA02
Ciprofloxacin 400mg/50ml solution for injection vials,Ciprofloxacin,Fluoroquinolones,J01MA02,P,ml,w,w,1,,,,,,,,
Ciprofloxacin 500mg tablets,Ciprofloxacin,Fluoroquinolones,J01MA02,O,tablet,w,w,1,,39687811000001107,Ciprofloxacin 500mg tablets,False,775261009,Ciprofloxacin,O,J01MA02
Ciprofloxacin 500mg/5ml oral suspension,Ciprofloxacin,Fluoroquinolones,J01MA02,O,ml,w,w,1,,12020511000001100,Ciprofloxacin 500mg/5ml oral suspension,False,775261009,Ciprofloxacin,O,J01MA02
Ciprofloxacin 50mg/5ml oral suspension,Ciprofloxacin,Fluoroquinolones,J01MA02,O,ml,w,w,1,,12020611000001101,Ciprofloxacin 50mg/5ml oral suspension,False,775261009,Ciprofloxacin,O,J01MA02
Ciprofloxacin 60mg/5ml oral suspension,Ciprofloxacin,Fluoroquinolones,J01MA02,O,ml,w,w,1,,12020711000001105,Ciprofloxacin 60mg/5ml oral suspension,False,775261009,Ciprofloxacin,O,J01MA02
Ciprofloxacin 750mg tablets,Ciprofloxacin,Fluoroquinolones,J01MA02,O,tablet,w,w,1,,39687011000001101,Ciprofloxacin 750mg tablets,False,775261009,Ciprofloxacin,O,J01MA02
Ciprofloxacin 75mg/5ml oral suspension,Ciprofloxacin,Fluoroquinolones,J01MA02,O,ml,w,w,1,,12020811000001102,Ciprofloxacin 75mg/5ml oral suspension,False,775261009,Ciprofloxacin,O,J01MA02
Ciprofloxacin 80mg/5ml oral suspension,Ciprofloxacin,Fluoroquinolones,J01MA02,O,ml,w,w,1,,12020911000001107,Ciprofloxacin 80mg/5ml oral suspension,False,775261009,Ciprofloxacin,O,J01MA02
Clarithromycin 125mg granules sachets,Clarithromycin,Macrolides,J01FA09,O,sachet,w,w,1,,,,,,,,
Clarithromycin 125mg granules straws,Clarithromycin,Macrolides,J01FA09,O,straw,w,w,1,,,,,,,,
Clarithromycin 125mg/5ml oral suspension,Clarithromycin,Macrolides,J01FA09,O,ml,w,w,1,,35368711000001104,Clarithromycin 125mg/5ml oral suspension,False,775277005,Clarithromycin,O,J01FA09
Clarithromycin 187.5mg granules straws,Clarithromycin,Macrolides,J01FA09,O,straw,w,w,1,,,,,,,,
Clarithromycin 250mg granules for oral suspension sachets,Clarithromycin,Macrolides,J01FA09,O,sachet,w,w,1,,41946211000001106,Clarithromycin 250mg granules for oral suspension sachets,False,775277005,Clarithromycin,O,J01FA09
Clarithromycin 250mg granules sachets,Clarithromycin,Macrolides,J01FA09,O,sachet,w,w,1,,,,,,,,
Clarithromycin 250mg granules straws,Clarithromycin,Macrolides,J01FA09,O,straw,w,w,1,,,,,,,,
Clarithromycin 250mg tablets,Clarithromycin,Macrolides,J01FA09,O,tablet,w,w,1,,41946311000001103,Clarithromycin 250mg tablets,False,775277005,Clarithromycin,O,J01FA09
Clarithromycin 250mg/5ml oral suspension,Clarithromycin,Macrolides,J01FA09,O,ml,w,w,1,,37083211000001101,Clarithromycin 250mg/5ml oral suspension,False,775277005,Clarithromycin,O,J01FA09
Clarithromycin 500mg modified-release tablets,Clarithromycin,Macrolides,J01FA09,O,tablet,w,w,1,,36142611000001107,Clarithromycin 500mg modified-release tablets,False,775277005,Clarithromycin,O,J01FA09
Clarithromycin 500mg powder for solution for infusion vials,Clarithromycin,Macrolides,J01FA09,P,vial,w,w,1,,41946411000001105,Clarithromycin 500mg powder for solution for infusion vials,False,775277005,Clarithromycin,P,J01FA09
Clarithromycin 500mg tablets,Clarithromycin,Macrolides,J01FA09,O,tablet,w,w,1,,41946511000001109,Clarithromycin 500mg tablets,False,775277005,Clarithromycin,O,J01FA09
Clarithromycin 500mg/250ml infusion bags,Clarithromycin,Macrolides,J01FA09,P,ml,w,w,1,,22390311000001100,Clarithromycin 500mg/250ml infusion bags,False,775277005,Clarithromycin,P,J01FA09
Clindamycin 100mg/5ml oral suspension,Clindamycin,Lincosamides,J01FF01,O,ml,a,w,1,,36458611000001108,Clindamycin 100mg/5ml oral suspension,False,775288004,Clindamycin,O,J01FF01
Clindamycin 100mg/5ml suspension,Clindamycin,Lincosamides,J01FF01,O,ml,a,w,1,,,,,,,,
Clindamycin 120mg/5ml oral solution,Clindamycin,Lincosamides,J01FF01,O,ml,a,w,1,,12021311000001101,Clindamycin 120mg/5ml oral solution,False,775288004,Clindamycin,O,J01FF01
Clindamycin 150mg capsules,Clindamycin,Lincosamides,J01FF01,O,capsule,a,w,1,,41946611000001108,Clindamycin 150mg capsules,False,775288004,Clindamycin,O,J01FF01
Clindamycin 150mg/5ml oral solution,Clindamycin,Lincosamides,J01FF01,O,ml,a,w,1,,12021411000001108,Clindamycin 150mg/5ml oral solution,False,775288004,Clindamycin,O,J01FF01
Clindamycin 150mg/5ml oral suspension,Clindamycin,Lincosamides,J01FF01,O,ml,a,w,1,,34376711000001103,Clindamycin 150mg/5ml oral suspension,False,775288004,Clindamycin,O,J01FF01
Clindamycin 200mg/5ml oral suspension,Clindamycin,Lincosamides,J01FF01,O,ml,a,w,1,,34818411000001104,Clindamycin 200mg/5ml oral suspension,False,775288004,Clindamycin,O,J01FF01
Clindamycin 20mg/5ml oral solution,Clindamycin,Lincosamides,J01FF01,O,ml,a,w,1,,12021611000001106,Clindamycin 20mg/5ml oral solution,False,775288004,Clindamycin,O,J01FF01
Clindamycin 300mg capsules,Clindamycin,Lincosamides,J01FF01,O,capsule,a,w,1,,21711211000001104,Clindamycin 300mg capsules,False,775288004,Clindamycin,O,J01FF01
Clindamycin 300mg/2ml solution for injection ampoules,Clindamycin,Lincosamides,J01FF01,P,ml,a,w,1,,36087211000001109,Clindamycin 300mg/2ml solution for injection ampoules,False,775288004,Clindamycin,P,J01FF01
Clindamycin 300mg/50ml infusion bags,Clindamycin,Lincosamides,J01FF01,P,ml,a,w,1,,38082611000001103,Clindamycin 300mg/50ml infusion bags,False,775288004,Clindamycin,P,J01FF01
Clindamycin 300mg/5ml oral solution,Clindamycin,Lincosamides,J01FF01,O,ml,a,w,1,,12021711000001102,Clindamycin 300mg/5ml oral solution,False,775288004,Clindamycin,O,J01FF01
Clindamycin 400mg/5ml oral solution,Clindamycin,Lincosamides,J01FF01,O,ml,a,w,1,,12021811000001105,Clindamycin 400mg/5ml oral solution,False,775288004,Clindamycin,O,J01FF01
Clindamycin 450mg/5ml oral solution,Clindamycin,Lincosamides,J01FF01,O,ml,a,w,1,,32748011000001108,Clindamycin 450mg/5ml oral solution,False,775288004,Clindamycin,O,J01FF01
Clindamycin 50mg in 5ml sugar-free suspension,Clindamycin,Lincosamides,J01FF01,O,ml,a,w,1,,,,,,,,
Clindamycin 50mg/5ml oral suspension,Clindamycin,Lincosamides,J01FF01,O,ml,a,w,1,,36458711000001104,Clindamycin 50mg/5ml oral suspension,False,775288004,Clindamycin,O,J01FF01
Clindamycin 600mg/4ml solution for injection ampoules,Clindamycin,Lincosamides,J01FF01,P,ml,a,w,1,,36087311000001101,Clindamycin 600mg/4ml solution for injection ampoules,False,775288004,Clindamycin,P,J01FF01
Clindamycin 600mg/50ml infusion bags,Clindamycin,Lincosamides,J01FF01,P,ml,a,w,1,,38082711000001107,Clindamycin 600mg/50ml infusion bags,False,775288004,Clindamycin,P,J01FF01
Clindamycin 60mg/5ml oral solution,Clindamycin,Lincosamides,J01FF01,O,ml,a,w,1,,18519211000001105,Clindamycin 60mg/5ml oral solution,False,775288004,Clindamycin,O,J01FF01
Clindamycin 75mg capsules,Clindamycin,Lincosamides,J01FF01,O,capsule,a,w,1,,41946711000001104,Clindamycin 75mg capsules,False,775288004,Clindamycin,O,J01FF01
Clindamycin 75mg/5ml oral solution,Clindamycin,Lincosamides,J01FF01,O,ml,a,w,1,,27864611000001100,Clindamycin 75mg/5ml oral solution,False,775288004,Clindamycin,O,J01FF01
Clindamycin 75mg/5ml oral suspension,Clindamycin,Lincosamides,J01FF01,O,ml,a,w,1,,8360611000001101,Clindamycin 75mg/5ml oral suspension,False,775288004,Clindamycin,O,J01FF01
Clofazimine 100mg capsules,Clofazimine,Antimycobacterials,J04BA01,O,capsule,o,o,0,anti-leprotic,41946811000001107,Clofazimine 100mg capsules,False,775303007,Clofazimine,O,J04BA01
Clofazimine 50mg capsules,Clofazimine,Antimycobacterials,J04BA01,O,capsule,o,o,0,anti-leprotic,41946911000001102,Clofazimine 50mg capsules,False,775303007,Clofazimine,O,J04BA01
Co-amoxiclav 1000mg/200mg powder for solution for injection vials,Amoxicillin/clavulanic-acid,Beta-lactam/beta-lactamase-inhibitors,J01CR02,P,vial,a,w,1,,41947011000001103,Co-amoxiclav 1000mg/200mg powder for solution for injection vials,False,774587000,Co-amoxiclav,P,J01CR02
Co-amoxiclav 1000mg/200mg/100ml infusion bags,Amoxicillin/clavulanic-acid,Beta-lactam/beta-lactamase-inhibitors,J01CR02,P,ml,a,w,1,,23673611000001106,Co-amoxiclav 1000mg/200mg/100ml infusion bags,False,774587000,Co-amoxiclav,P,J01CR02
Co-amoxiclav 1000mg/200mg/50ml infusion bags,Amoxicillin/clavulanic-acid,Beta-lactam/beta-lactamase-inhibitors,J01CR02,P,ml,a,w,1,,22515011000001106,Co-amoxiclav 1000mg/200mg/50ml infusion bags,False,774587000,Co-amoxiclav,P,J01CR02
Co-amoxiclav 125mg/31mg/5ml oral suspension,Amoxicillin/clavulanic-acid,Beta-lactam/beta-lactamase-inhibitors,J01CR02,O,ml,a,w,1,,7322211000001104,Co-amoxiclav 125mg/31mg/5ml oral suspension,False,774587000,Co-amoxiclav,O,J01CR02
Co-amoxiclav 125mg/31mg/5ml oral suspension sugar free,Amoxicillin/clavulanic-acid,Beta-lactam/beta-lactamase-inhibitors,J01CR02,O,ml,a,w,1,,36565811000001104,Co-amoxiclav 125mg/31mg/5ml oral suspension sugar free,False,774587000,Co-amoxiclav,O,J01CR02
Co-amoxiclav 250mg/125mg dispersible tablets sugar free,Amoxicillin/clavulanic-acid,Beta-lactam/beta-lactamase-inhibitors,J01CR02,O,tablet,a,w,1,,39021311000001109,Co-amoxiclav 250mg/125mg dispersible tablets sugar free,False,774587000,Co-amoxiclav,O,J01CR02
Co-amoxiclav 250mg/125mg tablets,Amoxicillin/clavulanic-acid,Beta-lactam/beta-lactamase-inhibitors,J01CR02,O,tablet,a,w,1,,39732111000001101,Co-amoxiclav 250mg/125mg tablets,False,774587000,Co-amoxiclav,O,J01CR02
Co-amoxiclav 250mg/62mg/5ml oral suspension,Amoxicillin/clavulanic-acid,Beta-lactam/beta-lactamase-inhibitors,J01CR02,O,ml,a,w,1,,7322311000001107,Co-amoxiclav 250mg/62mg/5ml oral suspension,False,774587000,Co-amoxiclav,O,J01CR02
Co-amoxiclav 250mg/62mg/5ml oral suspension sugar free,Amoxicillin/clavulanic-acid,Beta-lactam/beta-lactamase-inhibitors,J01CR02,O,ml,a,w,1,,37083611000001104,Co-amoxiclav 250mg/62mg/5ml oral suspension sugar free,False,774587000,Co-amoxiclav,O,J01CR02
Co-amoxiclav 400mg/57mg/5ml oral suspension,Amoxicillin/clavulanic-acid,Beta-lactam/beta-lactamase-inhibitors,J01CR02,O,ml,a,w,1,,43801211000001105,Co-amoxiclav 400mg/57mg/5ml oral suspension,False,774587000,Co-amoxiclav,O,
Co-amoxiclav 400mg/57mg/5ml oral suspension sugar free,Amoxicillin/clavulanic-acid,Beta-lactam/beta-lactamase-inhibitors,J01CR02,O,ml,a,w,1,,37083711000001108,Co-amoxiclav 400mg/57mg/5ml oral suspension sugar free,False,774587000,Co-amoxiclav,O,J01CR02
Co-amoxiclav 500mg/100mg powder for solution for injection vials,Amoxicillin/clavulanic-acid,Beta-lactam/beta-lactamase-inhibitors,J01CR02,P,vial,a,w,1,,41947111000001102,Co-amoxiclav 500mg/100mg powder for solution for injection vials,False,774587000,Co-amoxiclav,P,J01CR02
Co-amoxiclav 500mg/100mg/50ml infusion bags,Amoxicillin/clavulanic-acid,Beta-lactam/beta-lactamase-inhibitors,J01CR02,P,ml,a,w,1,,22514411000001103,Co-amoxiclav 500mg/100mg/50ml infusion bags,False,774587000,Co-amoxiclav,P,J01CR02
Co-amoxiclav 500mg/125mg tablets,Amoxicillin/clavulanic-acid,Beta-lactam/beta-lactamase-inhibitors,J01CR02,O,tablet,a,w,1,,39732211000001107,Co-amoxiclav 500mg/125mg tablets,False,774587000,Co-amoxiclav,O,J01CR02
Co-amoxiclav 875mg/125mg tablets,Amoxicillin/clavulanic-acid,Beta-lactam/beta-lactamase-inhibitors,J01CR02,O,tablet,a,w,1,,39732511000001105,Co-amoxiclav 875mg/125mg tablets,False,774587000,Co-amoxiclav,O,J01CR02
Co-fluampicil 125mg/125mg/5ml oral suspension,Flucloxacillin/ampicillin,Penicillins,J01CA51,O,ml,NR,o,1,no WHO DDDs; WHO does not recommend (NR) use in clinical practice,36090611000001106,Co-fluampicil 125mg/125mg/5ml oral suspension,False,44310211000001102,Co-fluampicil,O,J01CA51
Co-fluampicil 250mg/250mg capsules,Flucloxacillin/ampicillin,Penicillins,J01CA51,O,capsule,NR,o,1,no WHO DDDs; WHO does not recommend (NR) use in clinical practice,39732711000001100,Co-fluampicil 250mg/250mg capsules,False,44310211000001102,Co-fluampicil,O,J01CA51
Co-fluampicil 250mg/250mg powder for solution for injection vials,Flucloxacillin/ampicillin,Penicillins,J01CA51,P,vial,NR,o,1,no WHO DDDs; WHO does not recommend (NR) use in clinical practice,41947211000001108,Co-fluampicil 250mg/250mg powder for solution for injection vials,False,44310211000001102,Co-fluampicil,P,J01CA51
Colistimethate (colomycin)  (nebulisation only) vial  1million units inj,Colistin_INH,Polymyxins,J01XB01,INH,vial,r,r,1,,,,,,,,
"Colistimethate 1,662,500unit inhalation powder capsules",Colistin_INH,Polymyxins,J01XB01,INH,capsule,r,r,1,,22555311000001104,"Colistimethate 1,662,500unit inhalation powder capsules",False,775373006,Colistin,Inhal.powder,J01XB01
Colistimethate 1.2million unit powder for solution for injection vials,Colistin_IV,Polymyxins,J01XB01,P,vial,r,r,1,,,,,,,,
Colistimethate 1.5million unit powder for solution for injection vials,Colistin_IV,Polymyxins,J01XB01,P,vial,r,r,1,,,,,,,,
