dmd,Antibiotic,Class,atccode,route,VmpUnit,WHO_AWaRe_2023,UK_AWaRe_2024,Include,Notes,vmp_id,vmp_nm,invalid_vmp,vtm_id,vtm_nm,atc_route,atc
Azithromycin 200mg/5ml oral suspension sugar free,Azithromycin,Macrolides,J01FA10,O,ml,w,w,1,,29668711000001101,Azithromycin 200mg/5ml oral suspension sugar free,False,774722005,Azithromycin,O,J01FA10
Azithromycin 250mg capsules,Azithromycin,Macrolides,J01FA10,O,capsule,w,w,1,,41942011000001100,Azithromycin 250mg capsules,False,774722005,Azithromycin,O,J01FA10
Azithromycin 250mg tablets,Azithromycin,Macrolides,J01FA10,O,tablet,w,w,1,,11034311000001100,Azithromycin 250mg tablets,False,774722005,Azithromycin,O,J01FA10
Azithromycin 500mg powder for solution for infusion vials,Azithromycin,Macrolides,J01FA10,P,vial,w,w,1,,41942111000001104,Azithromycin 500mg powder for solution for infusion vials,False,774722005,Azithromycin,P,J01FA10
Azithromycin 500mg tablets,Azithromycin,Macrolides,J01FA10,O,tablet,w,w,1,,39733511000001103,Azithromycin 500mg tablets,False,774722005,Azithromycin,O,J01FA10
Aztreonam 1.5g / Avibactam 500mg powder for solution for infusion vials,Aztreonam/avibactam,Beta-lactam/beta-lactamase-inhibitors,J01DF51,P,vial,r,r,1,,43801411000001109,Aztreonam 1.5g / Avibactam 500mg powder for solution for infusion vials,False,43796711000001109,Aztreonam + Avibactam,P,
Aztreonam 1g powder for solution for injection vials,Aztreonam,Monobactams,J01DF01,P,vial,r,r,1,,41759411000001107,Aztreonam 1g powder for solution for injection vials,False,774725007,Aztreonam,P,J01DF01
Aztreonam 2g powder for solution for injection vials,Aztreonam,Monobactams,J01DF01,P,vial,r,r,1,,41759511000001106,Aztreonam 2g powder for solution for injection vials,False,774725007,Aztreonam,P,J01DF01
Aztreonam 3g powder for solution for injection vials,Aztreonam,Monobactams,J01DF01,P,vial,r,r,1,,,,,,,,
Aztreonam 500mg powder for solution for injection vials,Aztreonam,Monobactams,J01DF01,P,vial,r,r,1,,41759611000001105,Aztreonam 500mg powder for solution for injection vials,False,774725007,Aztreonam,P,J01DF01
