Antibiotic,vtm_nm,vtm_id,vmp_nm,vmp_id,vmp_atc_route,atc_route,aware_2019,aware_2024
Benzylpenicillin,Benzylpenicillin,774826003,Benzylpenicillin sodium 600mg/50ml infusion bags,22085911000001105,P,,Access,Access
Benzylpenicillin,Benzylpenicillin,774826003,Benzylpenicillin 0.15% eye drops,21657211000001109,,,Access,Access
Benzylpenicillin,Benzylpenicillin,774826003,Benzylpenicillin 0.3% eye drops preservative free,21658111000001102,,,Access,Access
Benzylpenicillin,Benzylpenicillin,774826003,Benzylpenicillin 0.6% eye drops,21658811000001109,,,Access,Access
Benzylpenicillin,Benzylpenicillin,774826003,Benzylpenicillin 6% eye drops,21659511000001100,,,Access,Access
Benzylpenicillin,Benzylpenicillin,774826003,Benzylpenicillin sodium 600mg powder for solution for injection vials,41942311000001102,P,,Access,Access
Benzylpenicillin,Benzylpenicillin,774826003,Benzylpenicillin sodium 1.2g powder for solution for injection vials,41942211000001105,P,,Access,Access
Cefaclor,Cefaclor,775086009,Cefaclor 250mg capsules,39735011000001107,O,,Watch,Watch
Cefaclor,Cefaclor,775086009,Cefaclor 500mg capsules,39735111000001108,O,,Watch,Watch
Cefaclor,Cefaclor,775086009,Cefaclor 375mg modified-release tablets,36134211000001100,O,,Watch,Watch
Cefaclor,Cefaclor,775086009,Cefaclor 125mg/5ml oral suspension sugar free,36134011000001105,O,,Watch,Watch
Cefaclor,Cefaclor,775086009,Cefaclor 250mg/5ml oral suspension sugar free,36134111000001106,O,,Watch,Watch
Cefaclor,Cefaclor,775086009,Cefaclor 250mg/5ml oral suspension,41942611000001107,O,,Watch,Watch
Cefaclor,Cefaclor,775086009,Cefaclor 125mg/5ml oral suspension,41942511000001108,O,,Watch,Watch
Cefadroxil,Cefadroxil,775087000,Cefadroxil 500mg capsules,39735211000001102,O,,Watch,Access
Cefadroxil,Cefadroxil,775087000,Cefadroxil 125mg/5ml oral suspension,41942711000001103,O,,Watch,Access
Cefadroxil,Cefadroxil,775087000,Cefadroxil 250mg/5ml oral suspension,41942811000001106,O,,Watch,Access
Cefadroxil,Cefadroxil,775087000,Cefadroxil 500mg/5ml oral suspension,41942911000001101,O,,Watch,Access
Cefalexin,Cefalexin,775088005,Cefalexin 250mg/5ml oral suspension,41943111000001105,O,,Watch,Access
Cefalexin,Cefalexin,775088005,Cefalexin 250mg capsules,39735311000001105,O,,Watch,Access
Cefalexin,Cefalexin,775088005,Cefalexin 125mg/5ml oral suspension,41943011000001109,O,,Watch,Access
Cefalexin,Cefalexin,775088005,Cefalexin 500mg capsules,39694811000001102,O,,Watch,Access
Cefalexin,Cefalexin,775088005,Cefalexin 250mg tablets,39684111000001105,O,,Watch,Access
Cefalexin,Cefalexin,775088005,Cefalexin 500mg tablets,39735911000001106,O,,Watch,Access
Cefalexin,Cefalexin,775088005,Cefalexin 500mg/5ml oral suspension,36134311000001108,O,,Watch,Access
Cefalexin,Cefalexin,775088005,Cefalexin 250mg/5ml oral suspension sugar free,4515811000001108,O,,Watch,Access
Cefalexin,Cefalexin,775088005,Cefalexin 125mg/5ml oral suspension sugar free,4865011000001104,O,,Watch,Access
Cefalotin,,,,,,,Watch,Access
Cefamandole,Cefamandole,775090006,Cefamandole 1g powder for solution for injection vials,4457111000001107,P,,Watch,Watch
Cefazolin,Cefazolin,775092003,Cefazolin 1g powder for solution for injection vials,41872611000001103,P,,Watch,Access
Cefazolin,Cefazolin,775092003,Cefazolin 500mg powder for solution for injection vials,41872711000001107,P,,Watch,Access
Cefazolin,Cefazolin,775092003,Cefazolin 2g powder for solution for injection vials,33631211000001106,P,,Watch,Access
